x,y,vx,vy,Paddle.y
565, 285, -15, -15, 472
550, 270, -15, -15, 472
535, 255, -15, -15, 472
520, 240, -15, -15, 472
505, 225, -15, -15, 472
490, 210, -15, -15, 472
475, 195, -15, -15, 472
460, 180, -15, -15, 472
445, 165, -15, -15, 472
430, 150, -15, -15, 472
415, 135, -15, -15, 472
400, 120, -15, -15, 472
385, 105, -15, -15, 472
370, 90, -15, -15, 472
355, 75, -15, -15, 472
340, 60, -15, -15, 472
325, 45, -15, -15, 472
325, 45, -15, 15, 472
310, 60, -15, 15, 472
295, 75, -15, 15, 472
280, 90, -15, 15, 472
265, 105, -15, 15, 472
250, 120, -15, 15, 472
235, 135, -15, 15, 472
220, 150, -15, 15, 472
205, 165, -15, 15, 472
190, 180, -15, 15, 472
175, 195, -15, 15, 472
160, 210, -15, 15, 472
145, 225, -15, 15, 472
130, 240, -15, 15, 472
115, 255, -15, 15, 472
100, 270, -15, 15, 472
85, 285, -15, 15, 472
70, 300, -15, 15, 472
55, 315, -15, 15, 472
40, 330, -15, 15, 472
40, 330, 15, 15, 472
55, 345, 15, 15, 472
70, 360, 15, 15, 472
85, 375, 15, 15, 472
100, 390, 15, 15, 472
115, 405, 15, 15, 472
130, 420, 15, 15, 472
145, 435, 15, 15, 472
160, 450, 15, 15, 472
175, 465, 15, 15, 472
190, 480, 15, 15, 472
205, 495, 15, 15, 472
220, 510, 15, 15, 472
235, 525, 15, 15, 472
250, 540, 15, 15, 472
265, 555, 15, 15, 472
265, 555, 15, -15, 472
280, 540, 15, -15, 472
295, 525, 15, -15, 472
310, 510, 15, -15, 472
325, 495, 15, -15, 472
340, 480, 15, -15, 472
355, 465, 15, -15, 472
370, 450, 15, -15, 472
385, 435, 15, -15, 472
400, 420, 15, -15, 472
415, 405, 15, -15, 472
430, 390, 15, -15, 472
445, 375, 15, -15, 441
460, 360, 15, -15, 408
475, 345, 15, -15, 427
490, 330, 15, -15, 451
505, 315, 15, -15, 475
520, 300, 15, -15, 492
535, 285, 15, -15, 496
550, 270, 15, -15, 499
565, 255, 15, -15, 500
580, 240, 15, -15, 485
595, 225, 15, -15, 438
610, 210, 15, -15, 381
625, 195, 15, -15, 370
640, 180, 15, -15, 366
655, 165, 15, -15, 357
670, 150, 15, -15, 355
685, 135, 15, -15, 366
700, 120, 15, -15, 381
715, 105, 15, -15, 383
730, 90, 15, -15, 385
745, 75, 15, -15, 382
760, 60, 15, -15, 371
775, 45, 15, -15, 363
775, 45, 15, 15, 361
790, 60, 15, 15, 365
805, 75, 15, 15, 372
820, 90, 15, 15, 375
835, 105, 15, 15, 379
850, 120, 15, 15, 379
865, 135, 15, 15, 377
880, 150, 15, 15, 371
895, 165, 15, 15, 366
910, 180, 15, 15, 366
925, 195, 15, 15, 380
940, 210, 15, 15, 397
955, 225, 15, 15, 408
970, 240, 15, 15, 416
985, 255, 15, 15, 417
1000, 270, 15, 15, 421
1015, 285, 15, 15, 431
1030, 300, 15, 15, 444
1045, 315, 15, 15, 454
1060, 330, 15, 15, 459
1075, 345, 15, 15, 459
1090, 360, 15, 15, 459
1105, 375, 15, 15, 459
1120, 390, 15, 15, 459
1135, 405, 15, 15, 459
1150, 420, 15, 15, 458
1150, 420, -15, 15, 455
1135, 435, -15, 15, 453
1120, 450, -15, 15, 453
1105, 465, -15, 15, 452
1090, 480, -15, 15, 452
1075, 495, -15, 15, 452
1060, 510, -15, 15, 452
1045, 525, -15, 15, 452
1030, 540, -15, 15, 452
1015, 555, -15, 15, 452
1015, 555, -15, -15, 452
1000, 540, -15, -15, 452
985, 525, -15, -15, 452
970, 510, -15, -15, 452
955, 495, -15, -15, 452
940, 480, -15, -15, 452
925, 465, -15, -15, 452
910, 450, -15, -15, 452
895, 435, -15, -15, 452
880, 420, -15, -15, 452
865, 405, -15, -15, 452
850, 390, -15, -15, 452
835, 375, -15, -15, 452
820, 360, -15, -15, 452
805, 345, -15, -15, 452
790, 330, -15, -15, 452
775, 315, -15, -15, 452
760, 300, -15, -15, 452
745, 285, -15, -15, 451
730, 270, -15, -15, 449
715, 255, -15, -15, 449
700, 240, -15, -15, 449
685, 225, -15, -15, 449
670, 210, -15, -15, 449
655, 195, -15, -15, 449
640, 180, -15, -15, 449
625, 165, -15, -15, 449
610, 150, -15, -15, 449
595, 135, -15, -15, 449
580, 120, -15, -15, 449
565, 105, -15, -15, 449
550, 90, -15, -15, 449
535, 75, -15, -15, 449
520, 60, -15, -15, 449
505, 45, -15, -15, 449
505, 45, -15, 15, 449
490, 60, -15, 15, 449
475, 75, -15, 15, 449
460, 90, -15, 15, 449
445, 105, -15, 15, 449
430, 120, -15, 15, 449
415, 135, -15, 15, 449
400, 150, -15, 15, 449
385, 165, -15, 15, 449
370, 180, -15, 15, 449
355, 195, -15, 15, 449
340, 210, -15, 15, 449
325, 225, -15, 15, 449
310, 240, -15, 15, 450
295, 255, -15, 15, 450
280, 270, -15, 15, 450
265, 285, -15, 15, 450
250, 300, -15, 15, 450
235, 315, -15, 15, 450
220, 330, -15, 15, 450
205, 345, -15, 15, 450
190, 360, -15, 15, 450
175, 375, -15, 15, 450
160, 390, -15, 15, 450
145, 405, -15, 15, 450
130, 420, -15, 15, 450
115, 435, -15, 15, 450
100, 450, -15, 15, 450
85, 465, -15, 15, 450
70, 480, -15, 15, 450
55, 495, -15, 15, 450
40, 510, -15, 15, 450
40, 510, 15, 15, 450
55, 525, 15, 15, 450
70, 540, 15, 15, 450
85, 555, 15, 15, 450
85, 555, 15, -15, 452
100, 540, 15, -15, 452
115, 525, 15, -15, 452
130, 510, 15, -15, 452
145, 495, 15, -15, 452
